Country (Name),State/Province,County,Latitude,Longitude
United States,Georgia,Appling,31.712200,82.258000
United States,Georgia,Atkinson,31.293200,82.864000
United States,Georgia,Bacon,31.541200,82.431000
United States,Georgia,Baker,31.281600,84.480000
United States,Georgia,Baldwin,33.033800,83.293000
United States,Georgia,Banks,34.378500,83.464000
United States,Georgia,Barrow,34.014300,83.698000
United States,Georgia,Bartow,34.266000,84.815000
United States,Georgia,Ben Hill,31.766400,83.207000
United States,Georgia,Berrien,31.311900,83.207000
United States,Georgia,Bibb,32.786600,83.719000
United States,Georgia,Bleckley,32.408800,83.378000
United States,Georgia,Brantley,31.151100,81.997000
United States,Georgia,Brooks,33.291000,84.459000
United States,Georgia,Bryan,32.023700,81.471000
United States,Georgia,Bulloch,32.359600,81.778000
United States,Georgia,Burke,33.088800,81.953000
United States,Georgia,Butts,33.269100,83.953000
United States,Georgia,Calhoun,34.502600,84.951000
United States,Georgia,Camden,30.898300,81.603000
United States,Georgia,Candler,32.424200,82.084000
United States,Georgia,Carroll,33.564200,85.064000
United States,Georgia,Catoosa,34.898200,85.147000
United States,Georgia,Charlton,30.791700,82.084000
United States,Georgia,Chatham,31.999400,81.119000
United States,Georgia,Chattahoochee,32.295200,84.815000
United States,Georgia,Chattooga,34.463300,85.313000
United States,Georgia,Cherokee,34.251500,84.480000
United States,Georgia,Clarke,33.951900,83.357000
United States,Georgia,Clay,31.644800,85.002000
United States,Georgia,Clayton,33.557200,84.375000
United States,Georgia,Clinch,30.971700,82.821000
United States,Georgia,Cobb,33.899900,84.564000
United States,Georgia,Coffee,31.518200,82.821000
United States,Georgia,Colquitt,31.207300,83.847000
United States,Georgia,Columbia,33.509900,82.258000
United States,Georgia,Cook,31.142800,83.464000
United States,Georgia,Coweta,33.371700,84.731000
United States,Georgia,Crawford,32.709100,83.974000
United States,Georgia,Crisp,31.887600,83.804000
United States,Georgia,Dade,34.910900,85.478000
United States,Georgia,Dawson,34.412900,84.143000
United States,Georgia,Decatur,30.872000,84.522000
United States,Georgia,DeKalb,33.795600,84.227000
United States,Georgia,Dodge,32.128700,83.207000
United States,Georgia,Dooly,32.159300,83.804000
United States,Georgia,Dougherty,31.543900,84.227000
United States,Georgia,Douglas,33.729000,84.731000
United States,Georgia,Early,31.390100,84.898000
United States,Georgia,Echols,30.750300,82.950000
United States,Georgia,Effingham,32.378100,81.383000
United States,Georgia,Elbert,34.079500,82.864000
United States,Georgia,Emanuel,32.572700,82.301000
United States,Georgia,Evans,32.142700,81.909000
United States,Georgia,Fannin,34.858000,84.227000
United States,Georgia,Fayette,33.450200,84.480000
United States,Georgia,Floyd,34.282900,85.230000
United States,Georgia,Forsyth,34.235900,84.143000
United States,Georgia,Franklin,34.364600,83.207000
United States,Georgia,Fulton,33.803400,84.396000
United States,Georgia,Gilmer,34.693500,84.480000
United States,Georgia,Glascock,33.242300,82.626000
United States,Georgia,Glynn,31.262400,81.603000
United States,Georgia,Gordon,34.489200,84.856000
United States,Georgia,Grady,30.905000,84.227000
United States,Georgia,Greene,33.518700,83.164000
United States,Georgia,Gwinnett,33.919100,84.016000
United States,Georgia,Habersham,34.647900,83.549000
United States,Georgia,Hall,34.307800,83.804000
United States,Georgia,Hancock,33.288300,83.036000
United States,Georgia,Haralson,33.802200,85.190000
United States,Georgia,Harris,32.703300,84.856000
United States,Georgia,Hart,34.350000,82.950000
United States,Georgia,Heard,33.299000,85.147000
United States,Georgia,Henry,33.434800,84.143000
United States,Georgia,Houston,32.422000,83.634000
United States,Georgia,Irwin,31.589300,83.293000
United States,Georgia,Jackson,34.117500,83.549000
United States,Georgia,Jasper,33.324700,83.719000
United States,Georgia,Jeff Davis,31.823500,82.605000
United States,Georgia,Jefferson,34.117100,83.572000
United States,Georgia,Jenkins,32.778100,81.997000
United States,Georgia,Johnson,32.730800,82.691000
United States,Georgia,Jones,33.000300,83.507000
United States,Georgia,Lamar,33.076600,84.143000
United States,Georgia,Lanier,31.029100,83.036000
United States,Georgia,Laurens,32.433000,82.993000
United States,Georgia,Lee,31.812800,84.143000
United States,Georgia,Liberty,31.843000,81.471000
United States,Georgia,Lincoln,33.787500,82.431000
United States,Georgia,Long,31.775600,81.822000
United States,Georgia,Lowndes,30.860000,83.293000
United States,Georgia,Lumpkin,34.581400,83.974000
United States,Georgia,Macon,32.352400,84.059000
United States,Georgia,Madison,34.099000,83.207000
United States,Georgia,Marion,32.328100,84.522000
United States,Georgia,McDuffie,33.525900,82.518000
United States,Georgia,McIntosh,31.474800,81.383000
United States,Georgia,Meriwether,33.056100,84.689000
United States,Georgia,Miller,31.200800,84.731000
United States,Georgia,Mitchell,31.223000,84.185000
United States,Georgia,Monroe,32.974700,83.889000
United States,Georgia,Montgomery,32.180200,82.518000
United States,Georgia,Morgan,33.579400,83.464000
United States,Georgia,Murray,34.792800,84.731000
United States,Georgia,Muscogee,32.479400,84.898000
United States,Georgia,Newton,33.554400,83.847000
United States,Georgia,Oconee,33.823200,83.443000
United States,Georgia,Oglethorpe,33.912000,83.036000
United States,Georgia,Paulding,33.914200,84.898000
United States,Georgia,Peach,32.589300,83.826000
United States,Georgia,Pickens,34.449700,84.459000
United States,Georgia,Pierce,31.343800,82.171000
United States,Georgia,Pike,33.088200,84.396000
United States,Georgia,Polk,34.013200,85.147000
United States,Georgia,Pulaski,32.232600,83.464000
United States,Georgia,Putnam,33.307000,83.378000
United States,Georgia,Quitman,30.784900,83.559000
